0.3,0.0,600.8
0.33,0.05,608.0666666666667
0.36,0.1,649.3333333333334
0.39,0.15,684.4666666666667
0.42,0.2,798.3333333333334
0.45,0.25,826.9333333333333
0.48,0.3,856.5333333333333
0.51,0.35,915.5333333333333
0.54,0.4,961.2
0.57,0.45,992.8
0.6,0.5,1041.6666666666667
0.63,0.55,1088.0666666666666
0.66,0.6,1124.6
0.69,0.65,1167.8666666666666
0.72,0.7,1282.8666666666666
0.75,0.75,1324.6
0.78,0.8,1346.0666666666666
0.81,0.85,1447.4666666666667
0.84,0.9,1482.5333333333333
0.87,0.95,1517.4666666666667
